Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2018-08-01,5991.0,5924.108114697855,5924.108114697854,5924.108114697856,4315.124624347431,7533.091605048279,5591.7563,5352.135,5831.378,3398.159,7785.3535,Train,2020,12
2018-09-01,5670.0,5815.917307627211,5815.91730762721,5815.917307627212,4206.933817276787,7424.900797977635,5518.729,5319.304,5718.154,3325.1316,7712.326,Train,2020,12
2018-10-01,5709.0,5758.793801641978,5758.793801641977,5758.7938016419785,4149.810311291553,7367.777291992402,5328.764,5088.538,5568.99,3135.1667,7522.3613,Train,2020,12
2018-11-01,5416.0,5717.8236858540195,5717.823685854019,5717.82368585402,4108.840195503595,7326.807176204444,5348.0054,5109.8345,5586.1763,3154.408,7541.6025,Train,2020,12
2018-12-01,5793.0,5838.072385763815,5838.072385763815,5838.072385763815,4229.088895413391,7447.055876114239,5106.8584,4853.133,5360.584,2913.261,7300.456,Train,2020,12
2019-01-01,5750.0,6054.429419822462,6054.429419822461,6054.4294198224625,4445.445929472037,7663.412910172886,5313.1133,5071.5156,5554.711,3119.5159,7506.711,Train,2020,12
2019-02-01,5399.0,5168.871753004773,5168.8717530047725,5168.871753004774,3559.888262654349,6777.855243355198,5207.094,4994.307,5419.8813,3013.4968,7400.6914,Train,2020,12
2019-03-01,6123.0,5991.036021401861,5991.03602140186,5991.036021401862,4382.052531051437,7600.019511752285,5056.657,4810.589,5302.7256,2863.0598,7250.255,Train,2020,12
2019-04-01,5730.0,5860.95325806053,5860.95325806053,5860.95325806053,4251.969767710106,7469.936748410954,5517.011,5311.5737,5722.4487,3323.4138,7710.6084,Train,2020,12
2019-05-01,6015.0,5894.009643999094,5894.009643999093,5894.009643999095,4285.02615364867,7502.993134349518,5256.4487,5032.683,5480.2144,3062.8513,7450.046,Train,2020,12
2019-06-01,5989.0,5921.405318604333,5921.405318604332,5921.405318604334,4312.421828253909,7530.388808954757,5533.6436,5298.2314,5769.0557,3340.0461,7727.241,Train,2020,12
2019-07-01,6333.0,6067.426677730255,6067.426677730255,6067.426677730255,4458.44318737983,7676.410168080679,5442.62,5240.795,5644.4453,3249.0227,7636.218,Train,2020,12
2019-08-01,6388.0,6228.633988281371,6228.63398828137,6228.633988281372,4619.650497930947,7837.617478631795,5785.016,5540.6133,6029.419,3591.4187,7978.6133,Train,2020,12
2019-09-01,6048.0,6215.911449714039,6215.911449714038,6215.91144971404,4606.927959363615,7824.894940064463,5796.5273,5611.3877,5981.667,3602.93,7990.125,Train,2020,12
2019-10-01,6322.0,5869.109580082797,5869.109580082797,5869.109580082797,4260.126089732373,7478.093070433221,5627.8794,5389.5244,5866.2344,3434.282,7821.4766,Train,2020,12
2019-11-01,6405.0,6164.287270578614,6164.287270578614,6164.287270578614,4555.30378022819,7773.270760929038,5841.2236,5632.3184,6050.129,3647.6262,8034.8213,Train,2020,12
2019-12-01,6523.0,6716.951135724676,6716.951135724676,6716.951135724676,5107.967645374251,8325.934626075099,5865.94,5636.3267,6095.553,3672.3425,8059.537,Train,2020,12
2020-01-01,6732.0,6366.833061512792,6366.833061512791,6366.8330615127925,4757.849571162367,7975.816551863216,5969.708,5720.457,6218.959,3776.1106,8163.3057,Test,2020,12
2020-02-01,6587.0,5890.850163354197,5890.850163354196,5890.850163354198,4281.866673003773,7499.833653704622,5589.9644,5225.2817,5954.647,3396.367,7783.5615,Test,2020,12
2020-03-01,7438.0,6480.53464892855,6480.53464892855,6480.53464892855,4871.551158578126,8089.518139278975,5453.5635,5044.959,5862.168,3259.966,7647.161,Test,2020,12
2020-04-01,8138.0,6159.275244037634,6159.2752440376335,6159.275244037635,4550.29175368721,7768.258734388059,5348.1123,4908.5835,5787.641,3154.515,7541.71,Test,2020,12
2020-05-01,9609.0,6342.344434674859,6342.344434674859,6342.344434674859,4733.360944324435,7951.327925025284,5204.41,4733.253,5675.5674,3010.8127,7398.008,Test,2020,12
2020-06-01,8378.0,6329.619163831951,6329.619163831951,6329.619163831951,4720.635673481526,7938.602654182375,4919.2725,4341.951,5496.5938,2725.675,7112.87,Test,2020,12
2020-07-01,8692.0,6497.218038796284,6497.2180387962835,6497.218038796285,4888.23454844586,8106.201529146709,4614.6416,3860.847,5368.4365,2421.0442,6808.2393,Test,2020,12
2020-08-01,8436.0,6413.8315562049675,6413.8315562049675,6413.8315562049675,4804.848065854543,8022.815046555392,4525.4023,3830.6006,5220.204,2331.805,6719.0,Test,2020,12
2020-09-01,7657.0,6064.4517988245725,6064.4517988245725,6064.4517988245725,4455.468308474148,7673.435289174997,4489.5444,3858.96,5120.129,2295.947,6683.1416,Test,2020,12
2020-10-01,7537.0,6157.994771489894,6157.994771489894,6157.994771489894,4549.01128113947,7766.978261840319,4355.1562,3706.936,5003.3765,2161.5588,6548.754,Test,2020,12
2020-11-01,7498.0,5966.190879502007,5966.190879502006,5966.190879502008,4357.207389151583,7575.1743698524315,4074.8452,3303.123,4846.5674,1881.2478,6268.4424,Test,2020,12
2020-12-01,7861.0,6242.7206899336825,6242.720689933682,6242.720689933683,4633.737199583258,7851.704180284107,3886.9539,3044.56,4729.3477,1693.3564,6080.5513,Test,2020,12
