Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2019-01-01,5750.0,6054.429419822462,6054.429419822461,6054.4294198224625,3456.0125790728084,8652.846260572114,5849.4893,5817.1914,5881.787,2921.9006,8777.078,Train,2020-2022,36
2019-02-01,5399.0,5168.871753004773,5168.8717530047725,5168.871753004774,2570.4549122551202,7767.288593754427,5833.083,5781.7544,5884.4116,2905.4944,8760.672,Train,2020-2022,36
2019-03-01,6123.0,5991.036021401861,5991.03602140186,5991.036021401862,3392.619180652208,8589.452862151515,5782.2354,5745.2246,5819.246,2854.6467,8709.824,Train,2020-2022,36
2019-04-01,5730.0,5860.95325806053,5860.95325806053,5860.95325806053,3262.536417310877,8459.370098810183,5795.0674,5755.529,5834.606,2867.4788,8722.656,Train,2020-2022,36
2019-05-01,6015.0,5894.009643999094,5894.009643999093,5894.009643999095,3295.5928032494407,8492.426484748747,5797.0107,5751.963,5842.0586,2869.422,8724.6,Train,2020-2022,36
2019-06-01,5989.0,5921.405318604333,5921.405318604332,5921.405318604334,3322.98847785468,8519.822159353986,5829.9717,5785.541,5874.4023,2902.383,8757.561,Train,2020-2022,36
2019-07-01,6333.0,6067.426677730255,6067.426677730255,6067.426677730255,3469.0098369806014,8665.843518479907,5860.4663,5803.912,5917.0205,2932.8777,8788.055,Train,2020-2022,36
2019-08-01,6388.0,6228.633988281371,6228.63398828137,6228.633988281372,3630.2171475317177,8827.050829031024,5900.7036,5845.686,5955.721,2973.115,8828.292,Train,2020-2022,36
2019-09-01,6048.0,6215.911449714039,6215.911449714038,6215.91144971404,3617.494608964386,8814.328290463693,5938.156,5873.327,6002.9844,3010.5671,8865.744,Train,2020-2022,36
2019-10-01,6322.0,5869.109580082797,5869.109580082797,5869.109580082797,3270.692739333144,8467.52642083245,5972.075,5899.372,6044.7783,3044.4866,8899.664,Train,2020-2022,36
2019-11-01,6405.0,6164.287270578614,6164.287270578614,6164.287270578614,3565.870429828961,8762.704111328267,5988.2856,5915.845,6060.726,3060.697,8915.874,Train,2020-2022,36
2019-12-01,6523.0,6716.951135724676,6716.951135724676,6716.951135724676,4118.534294975023,9315.367976474328,6020.1274,5951.4453,6088.8096,3092.5388,8947.716,Train,2020-2022,36
2020-01-01,6732.0,6366.833061512792,6366.833061512791,6366.8330615127925,3768.4162207631384,8965.249902262445,6052.255,5977.2544,6127.2554,3124.6663,8979.844,Test,2020-2022,36
2020-02-01,6587.0,5890.850163354197,5890.850163354196,5890.850163354198,3292.433322604544,8489.267004103851,6047.084,5961.3857,6132.782,3119.4954,8974.673,Test,2020-2022,36
2020-03-01,7438.0,6480.53464892855,6480.53464892855,6480.53464892855,3882.117808178897,9078.951489678204,6036.617,5953.8203,6119.414,3109.0286,8964.206,Test,2020-2022,36
2020-04-01,8138.0,6159.275244037634,6159.2752440376335,6159.275244037635,3560.858403287981,8757.692084787288,6020.56,5951.868,6089.252,3092.9714,8948.148,Test,2020-2022,36
2020-05-01,9609.0,6342.344434674859,6342.344434674859,6342.344434674859,3743.927593925206,8940.761275424513,6019.243,5952.1284,6086.358,3091.6545,8946.832,Test,2020-2022,36
2020-06-01,8378.0,6329.619163831951,6329.619163831951,6329.619163831951,3731.2023230822974,8928.036004581603,6004.306,5927.1953,6081.417,3076.7175,8931.895,Test,2020-2022,36
2020-07-01,8692.0,6497.218038796284,6497.2180387962835,6497.218038796285,3898.8011980466313,9095.634879545938,5975.9697,5891.2305,6060.709,3048.381,8903.559,Test,2020-2022,36
2020-08-01,8436.0,6413.8315562049675,6413.8315562049675,6413.8315562049675,3815.4147154553143,9012.248396954621,5947.9717,5862.103,6033.8403,3020.383,8875.561,Test,2020-2022,36
2020-09-01,7657.0,6064.4517988245725,6064.4517988245725,6064.4517988245725,3466.0349580749194,8662.868639574226,5944.0967,5857.874,6030.3193,3016.508,8871.686,Test,2020-2022,36
2020-10-01,7537.0,6157.994771489894,6157.994771489894,6157.994771489894,3559.5779307402413,8756.411612239548,5940.233,5855.3867,6025.079,3012.6443,8867.821,Test,2020-2022,36
2020-11-01,7498.0,5966.190879502007,5966.190879502006,5966.190879502008,3367.774038752354,8564.60772025166,5935.1006,5852.1865,6018.0146,3007.512,8862.689,Test,2020-2022,36
2020-12-01,7861.0,6242.7206899336825,6242.720689933682,6242.720689933683,3644.3038491840293,8841.137530683336,5930.173,5847.112,6013.234,3002.5842,8857.762,Test,2020-2022,36
2021-01-01,9066.0,6147.223940963276,6147.223940963276,6147.223940963276,3548.8071002136226,8745.64078171293,5925.478,5841.85,6009.106,2997.8894,8853.066,Test,2020-2022,36
