Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2019-03-01,6123.0,5991.036021401861,5991.03602140186,5991.036021401862,3392.619180652208,8589.452862151515,5687.224,5653.553,5720.895,3104.9995,8269.449,Train,2020-2022,36
2019-04-01,5730.0,5860.95325806053,5860.95325806053,5860.95325806053,3262.536417310877,8459.370098810183,5840.0605,5797.45,5882.671,3257.836,8422.285,Train,2020-2022,36
2019-05-01,6015.0,5894.009643999094,5894.009643999093,5894.009643999095,3295.5928032494407,8492.426484748747,5840.3916,5801.601,5879.182,3258.167,8422.616,Train,2020-2022,36
2019-06-01,5989.0,5921.405318604333,5921.405318604332,5921.405318604334,3322.98847785468,8519.822159353986,5919.0215,5876.9385,5961.1045,3336.7969,8501.246,Train,2020-2022,36
2019-07-01,6333.0,6067.426677730255,6067.426677730255,6067.426677730255,3469.0098369806014,8665.843518479907,5967.6826,5925.658,6009.707,3385.458,8549.907,Train,2020-2022,36
2019-08-01,6388.0,6228.633988281371,6228.63398828137,6228.633988281372,3630.2171475317177,8827.050829031024,6102.82,6054.584,6151.0557,3520.5952,8685.045,Train,2020-2022,36
2019-09-01,6048.0,6215.911449714039,6215.911449714038,6215.91144971404,3617.494608964386,8814.328290463693,6215.8657,6165.318,6266.4136,3633.641,8798.09,Train,2020-2022,36
2019-10-01,6322.0,5869.109580082797,5869.109580082797,5869.109580082797,3270.692739333144,8467.52642083245,6182.101,6139.1797,6225.0225,3599.8765,8764.326,Train,2020-2022,36
2019-11-01,6405.0,6164.287270578614,6164.287270578614,6164.287270578614,3565.870429828961,8762.704111328267,6228.537,6183.372,6273.702,3646.3125,8810.762,Train,2020-2022,36
2019-12-01,6523.0,6716.951135724676,6716.951135724676,6716.951135724676,4118.534294975023,9315.367976474328,6290.6885,6243.5845,6337.7925,3708.4639,8872.913,Train,2020-2022,36
2020-01-01,6732.0,6366.833061512792,6366.833061512791,6366.8330615127925,3768.4162207631384,8965.249902262445,6369.0747,6319.416,6418.7334,3786.85,8951.299,Test,2020-2022,36
2020-02-01,6587.0,5890.850163354197,5890.850163354196,5890.850163354198,3292.433322604544,8489.267004103851,6374.4517,6311.833,6437.0703,3792.227,8956.676,Test,2020-2022,36
2020-03-01,7438.0,6480.53464892855,6480.53464892855,6480.53464892855,3882.117808178897,9078.951489678204,6371.0527,6293.7817,6448.3237,3788.8281,8953.277,Test,2020-2022,36
2020-04-01,8138.0,6159.275244037634,6159.2752440376335,6159.275244037635,3560.858403287981,8757.692084787288,6365.217,6273.436,6456.9976,3782.9922,8947.441,Test,2020-2022,36
2020-05-01,9609.0,6342.344434674859,6342.344434674859,6342.344434674859,3743.927593925206,8940.761275424513,6360.0835,6254.397,6465.77,3777.859,8942.309,Test,2020-2022,36
2020-06-01,8378.0,6329.619163831951,6329.619163831951,6329.619163831951,3731.2023230822974,8928.036004581603,6353.585,6234.721,6472.4487,3771.3604,8935.81,Test,2020-2022,36
