Month,Sex,Deaths
2019-05-01,Male,4088.0
2019-06-01,Female,1868.0
2019-06-01,Male,4121.0
2019-07-01,Female,2001.0
2019-07-01,Male,4332.0
2019-08-01,Female,2031.0
2019-08-01,Male,4357.0
2019-09-01,Female,1925.0
2019-09-01,Male,4123.0
2019-10-01,Female,2039.0
2019-10-01,Male,4283.0
2019-11-01,Female,2011.0
2019-11-01,Male,4394.0
2019-12-01,Female,2032.0
2019-12-01,Male,4491.0
2020-01-01,Female,2137.0
2020-01-01,Male,4595.0
2020-02-01,Female,2059.0
2020-02-01,Male,4528.0
2020-03-01,Female,2308.0
2020-03-01,Male,5130.0
2020-04-01,Female,2441.0
2020-04-01,Male,5697.0
2020-05-01,Female,2817.0
2020-05-01,Male,6792.0
2020-06-01,Female,2513.0
2020-06-01,Male,5865.0
2020-07-01,Female,2570.0
2020-07-01,Male,6122.0
2020-08-01,Female,2547.0
2020-08-01,Male,5889.0
2020-09-01,Female,2350.0
2020-09-01,Male,5307.0
2020-10-01,Female,2337.0
2020-10-01,Male,5200.0
2020-11-01,Female,2263.0
2020-11-01,Male,5235.0
2020-12-01,Female,2398.0
2020-12-01,Male,5463.0
2021-01-01,Female,2782.0
2021-01-01,Male,6284.0
2021-02-01,Female,2452.0
2021-02-01,Male,5494.0
2021-03-01,Female,3022.0
2021-03-01,Male,6506.0
2021-04-01,Female,2878.0
2021-04-01,Male,6766.0
2021-05-01,Female,2808.0
2021-05-01,Male,6696.0
2021-06-01,Female,2722.0
2021-06-01,Male,6485.0
2021-07-01,Female,2917.0
2021-07-01,Male,6628.0
2021-08-01,Female,2870.0
2021-08-01,Male,6676.0
2021-09-01,Female,2787.0
2021-09-01,Male,6338.0
2021-10-01,Female,2671.0
2021-10-01,Male,6258.0
2021-11-01,Female,2523.0
2021-11-01,Male,5951.0
2021-12-01,Female,2599.0
2021-12-01,Male,6213.0
2022-01-01,Female,2829.0
2022-01-01,Male,6437.0
2022-02-01,Female,2588.0
2022-02-01,Male,6125.0
2022-03-01,Female,2848.0
2022-03-01,Male,6579.0
2022-04-01,Female,2558.0
2022-04-01,Male,6228.0
2022-05-01,Female,2759.0
2022-05-01,Male,6283.0
2022-06-01,Female,2696.0
2022-06-01,Male,6376.0
2022-07-01,Female,2809.0
2022-07-01,Male,6870.0
2022-08-01,Female,2683.0
2022-08-01,Male,6642.0
2022-09-01,Female,2676.0
2022-09-01,Male,6301.0
2022-10-01,Female,2847.0
2022-10-01,Male,6398.0
2022-11-01,Female,2627.0
2022-11-01,Male,6399.0
2022-12-01,Female,2773.0
2022-12-01,Male,6960.0
2023-01-01,Female,2817.0
2023-01-01,Male,6668.0
2023-02-01,Female,2627.0
2023-02-01,Male,6007.0
