Month,State,Deaths
2010-10-01,Nebraska,11.666666666666666
2010-10-01,Nevada,41.0
2010-10-01,New Hampshire,16.5
2010-10-01,New Jersey,80.0
2010-10-01,New Mexico,39.0
2010-10-01,New York,148.0
2010-10-01,North Carolina,109.0
2010-10-01,North Dakota,0.0
2010-10-01,Ohio,180.0
2010-10-01,Oklahoma,69.0
2010-10-01,Oregon,36.0
2010-10-01,Pennsylvania,160.0
2010-10-01,Rhode Island,15.0
2010-10-01,South Carolina,69.0
2010-10-01,South Dakota,0.9523809523809523
2010-10-01,Tennessee,106.0
2010-10-01,Texas,199.0
2010-10-01,Utah,34.0
2010-10-01,Vermont,12.23076923076923
2010-10-01,Virginia,43.0
2010-10-01,Washington,69.0
2010-10-01,West Virginia,51.0
2010-10-01,Wisconsin,52.0
2010-10-01,Wyoming,11.5
2010-11-01,Alabama,45.0
2010-11-01,Alaska,10.0
2010-11-01,Arizona,88.0
2010-11-01,Arkansas,23.0
2010-11-01,California,332.0
2010-11-01,Colorado,66.0
2010-11-01,Connecticut,28.0
2010-11-01,Delaware,18.0
2010-11-01,District of Columbia,10.875
2010-11-01,Florida,269.0
2010-11-01,Georgia,87.0
2010-11-01,Hawaii,13.0
2010-11-01,Idaho,20.0
2010-11-01,Illinois,122.0
2010-11-01,Indiana,91.0
2010-11-01,Iowa,27.0
2010-11-01,Kansas,24.0
2010-11-01,Kentucky,91.0
2010-11-01,Louisiana,56.0
2010-11-01,Maine,15.5
2010-11-01,Maryland,64.0
2010-11-01,Massachusetts,68.0
2010-11-01,Michigan,123.0
2010-11-01,Minnesota,52.0
2010-11-01,Mississippi,26.0
2010-11-01,Missouri,89.0
2010-11-01,Montana,14.0
2010-11-01,Nebraska,11.0
2010-11-01,Nevada,46.0
2010-11-01,New Hampshire,16.75
2010-11-01,New Jersey,75.0
2010-11-01,New Mexico,37.0
2010-11-01,New York,157.0
2010-11-01,North Carolina,59.0
2010-11-01,North Dakota,0.0
2010-11-01,Ohio,160.0
2010-11-01,Oklahoma,56.0
2010-11-01,Oregon,42.0
2010-11-01,Pennsylvania,170.0
2010-11-01,Rhode Island,15.0
2010-11-01,South Carolina,41.0
2010-11-01,South Dakota,1.1111111111111112
2010-11-01,Tennessee,81.0
2010-11-01,Texas,229.0
2010-11-01,Utah,40.0
2010-11-01,Vermont,12.307692307692308
2010-11-01,Virginia,48.0
2010-11-01,Washington,86.0
2010-11-01,West Virginia,52.0
2010-11-01,Wisconsin,40.0
2010-11-01,Wyoming,11.333333333333334
2010-12-01,Alabama,53.0
2010-12-01,Alaska,10.0
2010-12-01,Arizona,94.0
2010-12-01,Arkansas,33.0
2010-12-01,California,385.0
2010-12-01,Colorado,67.0
2010-12-01,Connecticut,45.0
2010-12-01,Delaware,10.0
2010-12-01,District of Columbia,11.0
2010-12-01,Florida,252.0
2010-12-01,Georgia,97.0
2010-12-01,Hawaii,14.0
2010-12-01,Idaho,17.0
2010-12-01,Illinois,122.0
2010-12-01,Indiana,75.0
2010-12-01,Iowa,19.0
2010-12-01,Kansas,16.0
2010-12-01,Kentucky,103.0
2010-12-01,Louisiana,64.0
2010-12-01,Maine,15.75
2010-12-01,Maryland,65.0
2010-12-01,Massachusetts,76.0
2010-12-01,Michigan,115.0
2010-12-01,Minnesota,44.0
2010-12-01,Mississippi,19.0
2010-12-01,Missouri,73.0
2010-12-01,Montana,14.0
2010-12-01,Nebraska,10.0
2010-12-01,Nevada,46.0
2010-12-01,New Hampshire,17.0
2010-12-01,New Jersey,92.0
2010-12-01,New Mexico,28.0
2010-12-01,New York,151.0
2010-12-01,North Carolina,107.0
2010-12-01,North Dakota,0.0
2010-12-01,Ohio,162.0
2010-12-01,Oklahoma,50.0
2010-12-01,Oregon,55.0
2010-12-01,Pennsylvania,185.0
2010-12-01,Rhode Island,21.0
2010-12-01,South Carolina,58.0
2010-12-01,South Dakota,1.2698412698412698
2010-12-01,Tennessee,99.0
2010-12-01,Texas,234.0
2010-12-01,Utah,41.0
2010-12-01,Vermont,12.384615384615385
2010-12-01,Virginia,36.0
2010-12-01,Washington,86.0
2010-12-01,West Virginia,48.0
2010-12-01,Wisconsin,60.0
2010-12-01,Wyoming,11.166666666666666
2011-01-01,Alabama,50.0
